,nombre,motor,nacionalidad,base,duracion,carreras_ingresadas,carreras_empezadas,pilotos_totales,total_inscripciones,victorias,puntos_totales,cantidad_poles,vueltas_rapidas,cantidad_podiums,titulos_constructores,titulos_pilotos,anteriores_equipos
0,Alpine,Renault,France,United Kingdom,2021–present,87,86,3,174,1,464,0,1,4,0,0,"Toleman(1981–1985),Benetton(1986–2001),Renault(2002–2011, 2016–2020),Lotus(2012–2015)"
1,Aston Martin,Mercedes,United Kingdom,United Kingdom,"1959–1960,2021–present",93,91,7,185,0,498,0,3,9,0,0,"Jordan(1991–2005),Midland(2006),Spyker(2007),Force India(2008–2018),Force India(2018),Racing Point(2019–2020)"
2,Ferrari,Ferrari,Italy,Italy,1950–present,1097,1094,82,2320,248,10219,253,263,825,16,15,Sin equipos antecedentes
3,Haas,Ferrari,United States,United StatesUnited Kingdom,2016–present,187,186,8,374,0,295,1,2,0,0,0,Sin equipos antecedentes
4,McLaren,Mercedes,United Kingdom,United Kingdom,1966–present,971,966,52,2011,188,6872.5,163,169,522,8,12,Sin equipos antecedentes
5,Mercedes,Mercedes,Germany,United Kingdom,"1954–1955,2010–present",314,313,12,640,128,7591.5,139,109,296,8,9,"Tyrrell(1970–1998),BAR(1999–2005),Honda(2006–2008),Brawn(2009)"
6,RB,HondaRBPT,Italy,Italy,2024,21,20,3,42,0,36,0,1,0,0,0,"Minardi(1985–2005),Toro Rosso(2006–2019)AlphaTauri(2020–2023)"
7,Red Bull Racing,HondaRBPT,Austria,United Kingdom,2005–present,391,389,11,778,120,7766,103,98,280,6,7,"Stewart(1997–1999),Jaguar(2000–2004)"
8,SauberBMW SauberKick Sauber,Ferrari,Switzerland,Switzerland,"1993–2018,2024",486,482,32,944,1,865,1,5,26,0,0,Alfa Romeo(2019–2023)
9,Williams,Mercedes,United Kingdom,United Kingdom,1978–present,824,822,48,1565,114,3637,128,133,313,9,7,Sin equipos antecedentes
